source_root,source_top_folder,relative_path,filename,extension,file_size_bytes,md5_hash,inferred_raw_label_from_folder,inferred_raw_label_from_filename,readable_audio,duration_seconds,sample_rate,channels,candidate_5_class,candidate_binary
cleaned_audio_unique,.,cleaned_audio_unique\012d46a1057c852dac5e0c451f5a24ed.wav,012d46a1057c852dac5e0c451f5a24ed.wav,.wav,241744,1b1e6e7995d87f4663c2018b5924bd0b,cleaned_audio_unique,unknown,yes,3.776,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\014d843b14f7592648b0cc7d2813a04e.wav,014d843b14f7592648b0cc7d2813a04e.wav,.wav,427600,d24b72e9e9af7bfd89948e79eac76f9f,cleaned_audio_unique,unknown,yes,6.68,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\016f7ca6c5f88964876310d8ab928f7e.wav,016f7ca6c5f88964876310d8ab928f7e.wav,.wav,448080,8628e44d0ada76d99f208f0850aeadd5,cleaned_audio_unique,unknown,yes,7.0,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\01964e9af9af90af4fa1cb31c3878f27.wav,01964e9af9af90af4fa1cb31c3878f27.wav,.wav,437328,2c47abde00a95649d64d9f7fc4d45ef2,cleaned_audio_unique,unknown,yes,6.832,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\0299a151c1fd4c1c1aa4e391e3b25830.wav,0299a151c1fd4c1c1aa4e391e3b25830.wav,.wav,433488,31a58e71d683540177e0dbbf95488309,cleaned_audio_unique,unknown,yes,6.772,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\02ab9bc0519c14f5fdfaa1b3f1d75939.wav,02ab9bc0519c14f5fdfaa1b3f1d75939.wav,.wav,433488,08200772a6c4799f9ff5981094909232,cleaned_audio_unique,unknown,yes,6.772,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\02dac4e6080768f213ce615ac651b4da.wav,02dac4e6080768f213ce615ac651b4da.wav,.wav,444240,a47605ed7befe720fc63b57918449d05,cleaned_audio_unique,unknown,yes,6.94,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\03e86bcecda7cac72c47e27e17726a5e.wav,03e86bcecda7cac72c47e27e17726a5e.wav,.wav,446032,ab82c8f7fed9935f69259a77f5d62f1d,cleaned_audio_unique,unknown,yes,6.968,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\040f0b09ff820c9fc5df7c0bc85c0848.wav,040f0b09ff820c9fc5df7c0bc85c0848.wav,.wav,407120,61c4cdd5165b6ae15f56d2fb354a6ba6,cleaned_audio_unique,unknown,yes,6.36,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\052bc80fb37accd12e3ae8c2f87915f7.wav,052bc80fb37accd12e3ae8c2f87915f7.wav,.wav,416592,0155b2e7be10799b2f8b273a395245b1,cleaned_audio_unique,unknown,yes,6.508,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\054a2cb61c63fd54eaa428f2ac9a00aa.wav,054a2cb61c63fd54eaa428f2ac9a00aa.wav,.wav,155216,7b882cc2e27d0039c61322b056c6953b,cleaned_audio_unique,unknown,yes,2.424,16000.0,1.0,Unknown,Unknown
cleaned_audio_unique,.,cleaned_audio_unique\05a54331a8cf6e30595610715ad13456.wav,05a54331a8cf6e30595610715ad13456.wav,.wav,442960,9edaf8bd745a778cfab7804ae8ab6dd3,cleaned_audio_unique,unknown,yes,6.92,16000.0,1.0,Unknown,Unknown
