hash,clean_path,filename,label,group_id
012d46a1057c852dac5e0c451f5a24ed,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\012d46a1057c852dac5e0c451f5a24ed.wav,012d46a1057c852dac5e0c451f5a24ed.wav,3,012d46a1057c852dac5e0c451f5a24ed
014d843b14f7592648b0cc7d2813a04e,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\014d843b14f7592648b0cc7d2813a04e.wav,014d843b14f7592648b0cc7d2813a04e.wav,0,014d843b14f7592648b0cc7d2813a04e
016f7ca6c5f88964876310d8ab928f7e,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\016f7ca6c5f88964876310d8ab928f7e.wav,016f7ca6c5f88964876310d8ab928f7e.wav,3,016f7ca6c5f88964876310d8ab928f7e
01964e9af9af90af4fa1cb31c3878f27,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\01964e9af9af90af4fa1cb31c3878f27.wav,01964e9af9af90af4fa1cb31c3878f27.wav,2,01964e9af9af90af4fa1cb31c3878f27
0299a151c1fd4c1c1aa4e391e3b25830,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\0299a151c1fd4c1c1aa4e391e3b25830.wav,0299a151c1fd4c1c1aa4e391e3b25830.wav,3,0299a151c1fd4c1c1aa4e391e3b25830
02ab9bc0519c14f5fdfaa1b3f1d75939,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\02ab9bc0519c14f5fdfaa1b3f1d75939.wav,02ab9bc0519c14f5fdfaa1b3f1d75939.wav,3,02ab9bc0519c14f5fdfaa1b3f1d75939
02dac4e6080768f213ce615ac651b4da,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\02dac4e6080768f213ce615ac651b4da.wav,02dac4e6080768f213ce615ac651b4da.wav,3,02dac4e6080768f213ce615ac651b4da
03e86bcecda7cac72c47e27e17726a5e,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\03e86bcecda7cac72c47e27e17726a5e.wav,03e86bcecda7cac72c47e27e17726a5e.wav,4,03e86bcecda7cac72c47e27e17726a5e
040f0b09ff820c9fc5df7c0bc85c0848,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\040f0b09ff820c9fc5df7c0bc85c0848.wav,040f0b09ff820c9fc5df7c0bc85c0848.wav,0,040f0b09ff820c9fc5df7c0bc85c0848
052bc80fb37accd12e3ae8c2f87915f7,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\052bc80fb37accd12e3ae8c2f87915f7.wav,052bc80fb37accd12e3ae8c2f87915f7.wav,0,052bc80fb37accd12e3ae8c2f87915f7
054a2cb61c63fd54eaa428f2ac9a00aa,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\054a2cb61c63fd54eaa428f2ac9a00aa.wav,054a2cb61c63fd54eaa428f2ac9a00aa.wav,3,054a2cb61c63fd54eaa428f2ac9a00aa
05a54331a8cf6e30595610715ad13456,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\05a54331a8cf6e30595610715ad13456.wav,05a54331a8cf6e30595610715ad13456.wav,3,05a54331a8cf6e30595610715ad13456
0654fd64ee6165456b79ced421ffbf46,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\0654fd64ee6165456b79ced421ffbf46.wav,0654fd64ee6165456b79ced421ffbf46.wav,0,0654fd64ee6165456b79ced421ffbf46
06d249058aa75bfe1b75473b094afa91,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\06d249058aa75bfe1b75473b094afa91.wav,06d249058aa75bfe1b75473b094afa91.wav,2,06d249058aa75bfe1b75473b094afa91
073f28b037daddd249e9ecc693494178,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\073f28b037daddd249e9ecc693494178.wav,073f28b037daddd249e9ecc693494178.wav,3,073f28b037daddd249e9ecc693494178
075e04163304493d9d78c0ee9abaa336,C:\Users\ASUS\Desktop\aml_project\cleaned_audio_unique\075e04163304493d9d78c0ee9abaa336.wav,075e04163304493d9d78c0ee9abaa336.wav,3,075e04163304493d9d78c0ee9abaa336
