source_root,source_top_folder,relative_path,filename,extension,md5_hash,parent_folder_label,filename_suffix_code,filename_code_label,folder_based_label,evidence_based_label,evidence_status,readable_audio,duration_seconds,sample_rate,channels
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\357c.wav,357c.wav,.wav,8090ee4fa8c7f5e64b3496949a869525,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\358c.wav,358c.wav,.wav,9d864e301034d39a8e7a5994c2f48b79,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\359c.wav,359c.wav,.wav,e7c3346dbe2ec989e3dab9819f939ab8,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\360c.wav,360c.wav,.wav,6df5ba8c2dd50456a7d105c4dd6169d7,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\361c.wav,361c.wav,.wav,5ee0d7cee3cc48210b5fb5a3bbc59f2c,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\362c.wav,362c.wav,.wav,9049a7d94232adc5b52225bd6c400eaa,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\363c.wav,363c.wav,.wav,689d9039e6e6a5a77fc7b45daebdaf27,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\364c.wav,364c.wav,.wav,014d843b14f7592648b0cc7d2813a04e,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\365c.wav,365c.wav,.wav,5f290561f6a998b5fbdeb4f84bb56601,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\366c.wav,366c.wav,.wav,7a4da29cdc43fd923cd6358575a6e3ab,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\367c.wav,367c.wav,.wav,efacac34ba63c8a41d39cbc64ccee9fc,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\368c.wav,368c.wav,.wav,8b9745e120f84677d9c15461c75e085b,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\369c.wav,369c.wav,.wav,8db2b52c62c5efd4c8ee40906df10a6d,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
raw_data,BABY CRY,raw_data\BABY CRY\belly_pain\370c.wav,370c.wav,.wav,507efe315d09c1e9f859b7b51fdb84c9,belly_pain,None,None,Belly Pain,Belly Pain,folder_only,yes,7.0,8000,1
